"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"01257","SHEFFIELD, MA",,"G",1064,"H",9893,"H",44337,123
"01258","SOUTH EGREMONT, MA",,"G",286,"G",1602,"G",6220,38
"01259","SOUTHFIELD, MA","B","S",0,"S",0,"H",3197,29
"01260","SOUTH LEE, MA",,"H",813,"H",10670,"H",35758,13
"01262","STOCKBRIDGE, MA",,"G",992,"G",7990,"G",35275,84
"01264","TYRINGHAM, MA","A","D",0,"D",0,"D",0,3
"01266","WEST STOCKBRIDGE, MA",,"G",197,"G",1351,"G",6591,59
"01267","WILLIAMSTOWN, MA",,"G",4506,"G",42216,"G",181650,224
"01270","WINDSOR, MA",,"H",121,"G",587,"G",2328,15
"01301","GREENFIELD, MA",,"G",8197,"G",59698,"G",242964,588
"01302","GREENFIELD, MA",,"G",647,"G",8790,"G",32601,31
"01330","ASHFIELD, MA",,"G",155,"G",742,"G",3670,32
"01331","ATHOL, MA",,"H",3429,"H",25550,"H",106341,234
"01337","BERNARDSTON, MA",,"H",272,"G",1510,"G",7725,47
"01338","BUCKLAND, MA",,"H",251,"H",680,"H",2952,17
"01339","CHARLEMONT, MA",,"G",182,"G",941,"G",4578,42
"01340","COLRAIN, MA",,"H",142,"H",1007,"H",3899,24
"01341","CONWAY, MA",,"H",127,"G",728,"G",3090,27
"01342","DEERFIELD, MA",,"G",883,"G",6838,"G",29327,31
"01344","ERVING, MA","E","D",0,"D",0,"D",0,16
"01346","HEATH, MA",,"G",14,"G",99,"G",425,6
"01347","LAKE PLEASANT, MA","A","D",0,"D",0,"D",0,1
"01349","MILLERS FALLS, MA",,"G",45,"G",303,"G",1278,7
"01350","MONROE BRIDGE, MA",,"G",3,"G",10,"G",53,3
"01351","MONTAGUE, MA",,"G",133,"G",787,"G",3573,37
"01354","GILL, MA",,"G",57,"G",311,"G",1782,18
"01355","NEW SALEM, MA",,"H",52,"H",400,"H",1897,14
"01360","NORTHFIELD, MA",,"H",649,"H",5216,"H",23696,48
"01364","ORANGE, MA",,"G",1607,"H",11397,"H",48078,150
"01366","PETERSHAM, MA",,"G",114,"G",404,"G",1916,30
"01367","ROWE, MA",,"G",107,"G",997,"G",3089,10
"01368","ROYALSTON, MA",,"H",47,"H",123,"H",478,9
"01370","SHELBURNE FALLS, MA",,"G",753,"G",4082,"G",16864,123
"01373","SOUTH DEERFIELD, MA",,"G",3046,"G",39466,"G",159006,149
"01375","SUNDERLAND, MA",,"G",537,"H",4623,"H",26326,50
"01376","TURNERS FALLS, MA",,"G",1978,"G",17005,"G",69425,120
"01378","WARWICK, MA","B","D",0,"D",0,"D",0,3
"01379","WENDELL, MA","C","D",0,"D",0,"D",0,10
"01380","WENDELL DEPOT, MA","A","D",0,"D",0,"D",0,1
"01420","FITCHBURG, MA",,"G",10366,"G",84548,"G",339169,849
"01430","ASHBURNHAM, MA",,"G",864,"H",6160,"H",24990,108
"01431","ASHBY, MA",,"G",164,"G",1071,"G",5046,59
"01432","AYER, MA",,"G",4444,"G",45527,"G",191573,255
"01434","DEVENS, MA",,"H",1246,"H",17712,"H",83741,41
"01436","BALDWINVILLE, MA","F","D",0,"D",0,"D",0,30
"01438","EAST TEMPLETON, MA","C","D",0,"D",0,"D",0,21
"01440","GARDNER, MA",,"G",7388,"G",53875,"G",227198,448
"01441","WESTMINSTER, MA","F","D",0,"D",0,"D",0,2
"01450","GROTON, MA",,"G",1581,"G",12733,"G",54411,209
"01451","HARVARD, MA",,"H",704,"G",7860,"G",36998,174
"01452","HUBBARDSTON, MA",,"G",387,"G",2420,"G",10159,54
"01453","LEOMINSTER, MA",,"G",18031,"G",148160,"G",589784,1173
"01460","LITTLETON, MA",,"G",4369,"G",64278,"G",264003,346
"01462","LUNENBURG, MA",,"G",1895,"G",14517,"G",65197,225
"01463","PEPPERELL, MA",,"G",1199,"G",8727,"G",40018,217
"01464","SHIRLEY, MA",,"G",1065,"H",11256,"H",47709,134
"01467","STILL RIVER, MA",,"G",15,"G",80,"G",342,9
"01468","TEMPLETON, MA",,"H",284,"G",1849,"G",8078,43
"01469","TOWNSEND, MA",,"G",1582,"G",14661,"G",58154,134
"01471","GROTON, MA","E","D",0,"D",0,"D",0,3
"01472","WEST GROTON, MA",,"G",332,"G",3225,"G",12544,14
"01473","WESTMINSTER, MA",,"G",1529,"G",14076,"G",61142,167
"01474","WEST TOWNSEND, MA",,"G",224,"G",1442,"G",6310,31
"01475","WINCHENDON, MA",,"G",1352,"G",7923,"G",32484,160
"01477","WINCHENDON SPRINGS, MA","B","D",0,"D",0,"D",0,2
"01501","AUBURN, MA",,"G",10772,"G",93292,"G",383529,591
"01503","BERLIN, MA",,"H",316,"H",2524,"G",11889,81
"01504","BLACKSTONE, MA",,"H",803,"G",5472,"G",22872,140
"01505","BOYLSTON, MA",,"G",1107,"G",10908,"G",49646,123
"01506","BROOKFIELD, MA",,"G",324,"G",2113,"G",8804,43
"01507","CHARLTON, MA",,"G",2623,"G",23763,"G",102838,242
"01508","CHARLTON CITY, MA",,"H",287,"H",1512,"H",6341,30
"01509","CHARLTON DEPOT, MA",,"G",8,"G",36,"G",378,4
"01510","CLINTON, MA",,"G",4027,"G",40171,"G",174080,293
"01515","EAST BROOKFIELD, MA",,"H",355,"G",2422,"G",10470,53
"01516","DOUGLAS, MA",,"G",585,"G",4310,"G",20091,135
"01518","FISKDALE, MA",,"G",359,"G",1979,"G",8880,63
"01519","GRAFTON, MA","G","D",0,"D",0,"D",0,104
"01520","HOLDEN, MA",,"G",3024,"G",23832,"G",105033,280
"01521","HOLLAND, MA",,"G",79,"G",621,"G",2511,25
"01522","JEFFERSON, MA",,"H",169,"G",864,"G",4218,36
"01523","LANCASTER, MA",,"G",1426,"G",10634,"G",44315,118
"01524","LEICESTER, MA",,"G",867,"G",6754,"G",29519,113
"01525","LINWOOD, MA",,"H",248,"H",1386,"H",7139,25
"01526","MANCHAUG, MA",,"G",53,"G",434,"G",2024,14
"01527","MILLBURY, MA",,"G",4849,"G",36417,"G",158849,292
"01529","MILLVILLE, MA",,"G",74,"G",538,"G",2315,41
"01531","NEW BRAINTREE, MA",,"G",66,"G",213,"G",1380,19
"01532","NORTHBOROUGH, MA",,"G",6300,"G",71883,"G",294719,470
"01534","NORTHBRIDGE, MA",,"G",1010,"G",6286,"G",29685,66
"01535","NORTH BROOKFIELD, MA",,"G",895,"G",7666,"G",32932,86
"01536","NORTH GRAFTON, MA",,"H",2258,"H",23193,"H",105480,157
"01537","NORTH OXFORD, MA",,"G",930,"G",8707,"G",35373,61
"01538","NORTH UXBRIDGE, MA","C","S",0,"S",0,"H",2694,20
"01540","OXFORD, MA",,"G",2791,"H",28377,"H",129342,256
"01541","PRINCETON, MA",,"G",912,"G",3673,"G",13027,62
"01542","ROCHDALE, MA",,"G",420,"G",3483,"G",15456,34
"01543","RUTLAND, MA",,"G",882,"G",6091,"G",27021,121
"01545","SHREWSBURY, MA",,"G",11029,"G",89034,"G",379142,831
"01546","SHREWSBURY, MA","A","D",0,"D",0,"D",0,1
"01550","SOUTHBRIDGE, MA",,"G",5257,"G",45302,"G",187949,365
"01560","SOUTH GRAFTON, MA",,"G",324,"H",2592,"H",11526,62
"01561","SOUTH LANCASTER, MA",,"G",878,"G",6080,"G",26455,42
"01562","SPENCER, MA",,"G",3102,"H",26361,"H",118351,247
"01564","STERLING, MA",,"G",2217,"G",19808,"G",88464,192
"01566","STURBRIDGE, MA",,"G",3870,"G",23677,"G",102260,248
"01568","UPTON, MA",,"G",651,"G",4691,"G",23863,155
"01569","UXBRIDGE, MA",,"G",2570,"G",21445,"G",95089,276
"01570","WEBSTER, MA",,"H",7171,"H",78918,"H",265466,408
"01571","DUDLEY, MA",,"G",2291,"G",17067,"G",74886,165
"01580","WESTBOROUGH, MA","G","D",0,"D",0,"D",0,9
"01581","WESTBOROUGH, MA",,"G",19904,"G",250677,"G",991785,907
"01582","WESTBOROUGH, MA","F","D",0,"D",0,"D",0,4
"01583","WEST BOYLSTON, MA",,"G",2682,"G",23999,"G",96386,238
"01585","WEST BROOKFIELD, MA",,"G",775,"G",5940,"G",24538,86
"01588","WHITINSVILLE, MA",,"G",2632,"G",20412,"G",85336,206
"01590","SUTTON, MA",,"G",1585,"G",13692,"G",61559,161
"01601","WORCESTER, MA",,"G",246,"G",2429,"G",9925,21
"01602","WORCESTER, MA",,"G",2733,"G",20298,"G",83111,284
"01603","WORCESTER, MA",,"G",7216,"G",51808,"G",213296,408
"01604","WORCESTER, MA",,"H",12803,"H",120807,"H",500728,717
"01605","WORCESTER, MA",,"H",24208,"H",311749,"H",1164854,592
"01606","WORCESTER, MA",,"H",9945,"H",107284,"H",433826,451
"01607","WORCESTER, MA",,"G",2699,"G",24979,"G",108955,147
"01608","WORCESTER, MA",,"G",12442,"G",150979,"G",569118,582
"01609","WORCESTER, MA",,"G",9156,"G",72073,"G",303825,524
"01610","WORCESTER, MA",,"G",8337,"G",69669,"G",290020,373
"01611","CHERRY VALLEY, MA",,"G",237,"G",1678,"G",7219,37
"01612","PAXTON, MA",,"G",660,"G",5028,"G",20973,81
"01613","WORCESTER, MA",,"G",586,"G",5325,"G",24115,34
"01614","WORCESTER, MA",,"G",16,"G",91,"G",348,5
"01615","WORCESTER, MA","E","D",0,"D",0,"D",0,14
"01653","WORCESTER, MA",,"H",35,"G",269,"G",1019,6
"01655","WORCESTER, MA","H","D",0,"D",0,"D",0,9
"01701","FRAMINGHAM, MA",,"G",32885,"G",476177,"G",1964947,1261
"01702","FRAMINGHAM, MA",,"G",13696,"G",242949,"G",979380,831
"01703","FRAMINGHAM, MA",,"H",127,"H",432,"H",1722,7
"01704","FRAMINGHAM, MA","B","S",0,"G",505,"G",2159,11
"01705","FRAMINGHAM, MA","A","D",0,"D",0,"D",0,1
"01718","VILLAGE OF NAGOG WOODS, MA","A","D",0,"D",0,"D",0,2
"01719","BOXBOROUGH, MA",,"G",4081,"H",137112,"H",541459,159
"01720","ACTON, MA",,"G",8870,"G",101607,"G",433658,760
"01721","ASHLAND, MA",,"G",4505,"G",40871,"G",177878,419
"01730","BEDFORD, MA",,"G",18887,"G",423068,"G",1607723,536
"01731","HANSCOM AFB, MA",,"G",682,"G",9596,"G",38035,26
"01740","BOLTON, MA",,"G",1104,"G",17278,"G",62046,130
"01741","CARLISLE, MA",,"G",493,"G",5612,"G",27025,121
"01742","CONCORD, MA",,"G",10191,"G",148004,"G",625722,787
"01745","FAYVILLE, MA","C","D",0,"D",0,"D",0,23
"01746","HOLLISTON, MA",,"G",4983,"H",69480,"G",280615,405
"01747","HOPEDALE, MA",,"G",1377,"G",13615,"G",63951,144
"01748","HOPKINTON, MA",,"G",4511,"G",61588,"G",250254,406
"01749","HUDSON, MA",,"G",8561,"G",96700,"G",402012,513
"01752","MARLBOROUGH, MA",,"G",32578,"G",589787,"G",2525721,1352
"01754","MAYNARD, MA",,"H",4530,"H",102602,"H",399301,292
"01756","MENDON, MA",,"G",954,"G",5940,"G",27007,153
"01757","MILFORD, MA",,"G",15436,"G",193816,"G",802583,805
"01760","NATICK, MA",,"G",25016,"G",376014,"G",1516319,1364
"01770","SHERBORN, MA",,"G",467,"G",4991,"G",23703,109
"01772","SOUTHBOROUGH, MA",,"G",8334,"G",140217,"G",537995,339
"01773","LINCOLN, MA",,"H",1376,"H",22525,"H",91919,147
"01775","STOW, MA",,"H",1199,"G",9606,"G",43877,164
"01776","SUDBURY, MA",,"G",7158,"G",104674,"G",400970,515
"01778","WAYLAND, MA",,"G",2851,"G",30928,"G",139880,332
"01784","WOODVILLE, MA","A","S",0,"G",55,"G",239,6
"01801","WOBURN, MA",,"G",39674,"G",515740,"G",2093026,2002
"01803","BURLINGTON, MA",,"G",34494,"G",609726,"G",2455259,1442
"01805","BURLINGTON, MA","H","D",0,"D",0,"D",0,15
"01806","WOBURN, MA","A","D",0,"D",0,"D",0,1
"01807","WOBURN, MA","A","D",0,"D",0,"D",0,1
"01808","WOBURN, MA","B","D",0,"D",0,"D",0,2
"01810","ANDOVER, MA",,"G",29504,"G",543373,"G",2146519,1037
"01821","BILLERICA, MA",,"G",15403,"G",266697,"G",996728,715
"01822","BILLERICA, MA","E","D",0,"D",0,"D",0,3
"01824","CHELMSFORD, MA",,"G",19800,"G",314124,"G",1256345,835
"01826","DRACUT, MA",,"G",4467,"G",34546,"G",155147,548
"01827","DUNSTABLE, MA",,"G",219,"G",1282,"G",6204,52
"01830","HAVERHILL, MA",,"G",7518,"G",62965,"G",265032,570
"01831","HAVERHILL, MA","C","S",0,"H",1081,"H",4324,22
"01832","HAVERHILL, MA",,"G",3955,"G",34972,"G",148604,296
"01833","GEORGETOWN, MA",,"G",1778,"G",16038,"G",79609,214
"01834","GROVELAND, MA",,"G",932,"G",8823,"G",37988,128
"01835","HAVERHILL, MA",,"G",4704,"G",45535,"G",185235,319
"01840","LAWRENCE, MA",,"H",4285,"H",29358,"H",124422,316
"01841","LAWRENCE, MA",,"G",6264,"G",61154,"G",253062,315
"01842","LAWRENCE, MA",,"G",162,"G",1504,"G",8862,18
"01843","LAWRENCE, MA",,"G",8766,"G",87420,"G",364924,432
"01844","METHUEN, MA",,"G",14389,"G",126062,"G",517914,891
"01845","NORTH ANDOVER, MA",,"G",15251,"G",164960,"G",681735,843
"01850","LOWELL, MA",,"G",1615,"G",9095,"G",39205,111
"01851","LOWELL, MA",,"H",8037,"H",99681,"H",397856,426
"01852","LOWELL, MA",,"G",12030,"G",102047,"G",435558,812
"01853","LOWELL, MA",,"G",488,"G",4488,"G",16591,26
"01854","LOWELL, MA",,"G",5712,"G",51615,"G",214666,305
"01860","MERRIMAC, MA",,"G",504,"G",3595,"G",15400,96
"01862","NORTH BILLERICA, MA",,"G",8472,"G",121819,"G",540200,379
"01863","NORTH CHELMSFORD, MA",,"G",2226,"G",25538,"G",110288,228
"01864","NORTH READING, MA",,"G",5755,"G",70410,"G",288211,465
"01865","NUTTING LAKE, MA","B","D",0,"D",0,"D",0,5
"01866","PINEHURST, MA",,"G",88,"G",521,"H",2408,9
"01867","READING, MA",,"G",6137,"H",55158,"H",229078,519
"01876","TEWKSBURY, MA",,"G",16667,"G",218317,"G",856505,787
"01879","TYNGSBORO, MA",,"G",4948,"G",33032,"G",130251,357
"01880","WAKEFIELD, MA",,"G",14100,"G",195535,"G",810613,922
"01885","WEST BOXFORD, MA","B","S",0,"G",259,"G",1362,12
"01886","WESTFORD, MA",,"G",9355,"G",145751,"G",589592,603
"01887","WILMINGTON, MA",,"G",18913,"G",287022,"G",1115098,763
"01888","WOBURN, MA",,"G",194,"G",2772,"G",11823,17
"01889","NORTH READING, MA","A","D",0,"D",0,"D",0,1
"01890","WINCHESTER, MA",,"G",6969,"G",72781,"G",328901,592
"01901","LYNN, MA",,"G",5647,"G",43260,"G",172836,263
"01902","LYNN, MA",,"G",3292,"G",24301,"G",103080,376
"01903","LYNN, MA",,"G",110,"G",903,"G",4102,14
"01904","LYNN, MA",,"G",2223,"H",17838,"G",76824,276
"01905","LYNN, MA",,"H",7699,"H",112352,"H",495628,286
"01906","SAUGUS, MA",,"G",9589,"G",56613,"G",237784,778
"01907","SWAMPSCOTT, MA",,"G",3084,"G",20045,"G",86742,343
"01908","NAHANT, MA",,"G",427,"G",1922,"G",9713,60
"01910","LYNN, MA",,"G",51,"G",577,"G",2685,8
"01913","AMESBURY, MA",,"G",4236,"G",40137,"G",163937,399
"01915","BEVERLY, MA",,"G",21701,"G",251286,"G",1036698,1247
"01921","BOXFORD, MA",,"G",607,"H",7575,"H",36171,127
"01922","BYFIELD, MA","F","S",0,"H",7787,"H",33703,63
"01923","DANVERS, MA",,"G",26316,"G",252044,"G",1050742,1148
"01929","ESSEX, MA",,"G",993,"G",7507,"G",36788,156
"01930","GLOUCESTER, MA",,"G",9278,"G",109582,"G",431702,943
"01931","GLOUCESTER, MA","B","S",0,"H",388,"H",1590,17
"01936","HAMILTON, MA",,"G",79,"G",670,"G",2964,20
"01937","HATHORNE, MA",,"G",93,"G",1224,"G",4423,5
"01938","IPSWICH, MA",,"G",4114,"G",42112,"G",197740,407
"01940","LYNNFIELD, MA",,"G",4453,"G",49424,"G",208224,359
"01944","MANCHESTER, MA",,"G",1452,"G",14882,"G",68839,192
"01945","MARBLEHEAD, MA",,"G",4249,"G",36983,"G",152522,593
"01949","MIDDLETON, MA",,"G",3634,"G",36521,"G",142167,303
"01950","NEWBURYPORT, MA",,"G",9852,"G",94203,"G",409082,813
"01951","NEWBURY, MA",,"G",416,"G",2845,"G",13612,75
"01952","SALISBURY, MA",,"G",2360,"G",18845,"G",84899,302
"01960","PEABODY, MA",,"G",22626,"G",216889,"G",926562,1410
"01961","PEABODY, MA",,"H",566,"H",5394,"H",22298,16
"01965","PRIDES CROSSING, MA","E","D",0,"D",0,"D",0,13
"01966","ROCKPORT, MA",,"G",789,"G",6020,"G",28230,200
"01969","ROWLEY, MA",,"H",2502,"H",21013,"H",103087,222
"01970","SALEM, MA",,"G",16477,"H",167048,"H",672189,1165
"01971","SALEM, MA","B","D",0,"D",0,"D",0,2
"01982","SOUTH HAMILTON, MA",,"G",1063,"G",7389,"G",33492,153
"01983","TOPSFIELD, MA",,"G",1696,"G",19227,"G",86522,250
"01984","WENHAM, MA",,"G",1824,"G",15378,"G",60262,80
"01985","WEST NEWBURY, MA",,"G",346,"G",2909,"G",13752,93
"02018","ACCORD, MA",,"G",34,"G",335,"G",1419,8
"02019","BELLINGHAM, MA",,"H",5495,"H",40610,"H",167631,385
"02020","BRANT ROCK, MA",,"G",156,"H",646,"H",3261,17
"02021","CANTON, MA",,"G",23587,"G",391829,"G",1484770,943
"02025","COHASSET, MA",,"G",2562,"G",19039,"G",88528,255
"02026","DEDHAM, MA",,"G",16026,"G",152420,"G",626149,811
"02027","DEDHAM, MA",,"G",378,"G",3791,"G",15697,15
"02030","DOVER, MA",,"G",436,"G",4733,"G",22027,118
"02031","EAST MANSFIELD, MA","A","D",0,"D",0,"D",0,1
"02032","EAST WALPOLE, MA",,"G",1880,"G",17986,"G",74496,116
"02035","FOXBORO, MA",,"G",10697,"G",149458,"G",629790,562
"02038","FRANKLIN, MA",,"G",14460,"G",167240,"G",647258,861
"02040","GREENBUSH, MA",,"G",43,"G",311,"G",1626,10
"02041","GREEN HARBOR, MA","C","S",0,"S",0,"H",4637,10
"02043","HINGHAM, MA",,"G",11324,"G",126786,"G",530066,838
"02045","HULL, MA",,"G",1002,"G",6343,"G",29503,162
"02047","HUMAROCK, MA",,"G",27,"G",211,"G",1006,15
"02048","MANSFIELD, MA",,"G",9587,"H",127058,"H",513161,572
"02050","MARSHFIELD, MA",,"G",4029,"G",33342,"G",146328,516
"02051","MARSHFIELD HILLS, MA","B","D",0,"D",0,"D",0,18
"02052","MEDFIELD, MA",,"G",2859,"G",22999,"G",104159,332
"02053","MEDWAY, MA",,"G",2869,"G",22676,"G",110258,309
"02054","MILLIS, MA",,"G",1872,"G",15408,"G",61134,218
"02055","MINOT, MA","A","D",0,"D",0,"D",0,1
"02056","NORFOLK, MA",,"H",1561,"G",12810,"G",58784,221
"02059","NORTH MARSHFIELD, MA",,"G",11,"G",95,"G",494,7
